,const,stations,cost,station1,station2,betweenness_o,out_degree_o,in_degree_o,eigenvector_o,closeness_o,betweenness_d,out_degree_d,in_degree_d,eigenvector_d,closeness_d,int_in_degree_centrality,int_out_degree_centrality,pct_change,volume_x,volume_y,hyp_time_reduction
0,1.0,"('11', '10')",4062216.9233378973,11,10,0.2263786937699981,0.17391304347826086,0.17391304347826086,0.2395383743622112,0.40350877192982454,0.23997741389045735,0.21739130434782608,0.21739130434782608,0.38454071635190656,0.42592592592592593,0.03780718336483932,0.03780718336483932,-0.040004029637112345,41048.933057563125,81816.52655640151,-1.700390269328539
1,1.0,"('19', '20')",4008185.0786874364,19,20,0.03406424493381014,0.13043478260869565,0.13043478260869565,0.24157828164948372,0.3333333333333333,0.1131752305665349,0.17391304347826086,0.17391304347826086,0.2556517808411342,0.32857142857142857,0.02268431001890359,0.02268431001890359,-0.05277300631034585,37746.249739773244,41009.95867227828,-3.109023608530692
2,1.0,"('4', '15')",3602739.167623824,4,15,0.10083756822887256,0.13043478260869565,0.13043478260869565,0.1284552783451155,0.3484848484848485,0.12247631595457684,0.17391304347826086,0.17391304347826086,0.3171206350318802,0.3709677419354839,0.02268431001890359,0.02268431001890359,-0.14858926825958535,37248.201210563595,69765.69139989783,-2.9053453920045857
3,1.0,"('15', '22')",3545573.4388556657,15,22,0.12247631595457684,0.17391304347826086,0.17391304347826086,0.3171206350318802,0.3709677419354839,0.0718881360185708,0.17391304347826086,0.17391304347826086,0.2674821364787066,0.32857142857142857,0.030245746691871453,0.030245746691871453,-0.162098854354066,69765.69139989783,43652.35394801557,-2.1665720506178645
4,1.0,"('7', '19')",3389050.724445915,7,19,0.030665349143610014,0.08695652173913043,0.08695652173913043,0.11721217872477815,0.30666666666666664,0.03406424493381014,0.13043478260869565,0.13043478260869565,0.24157828164948372,0.3333333333333333,0.011342155009451795,0.011342155009451795,-0.1990887980078267,27899.382473233512,37746.249739773244,-3.515995875929428
5,1.0,"('1', '3')",3358020.159948745,1,3,0.03524374176548089,0.08695652173913043,0.08695652173913043,0.03458625764818794,0.26436781609195403,0.09528514963297569,0.13043478260869565,0.13043478260869565,0.07870089315411744,0.30666666666666664,0.011342155009451795,0.011342155009451795,-0.20642203929886324,12614.687944016001,32133.376290015865,-3.433519654105189
6,1.0,"('1', '11')",3273937.2496439135,1,11,0.03524374176548089,0.08695652173913043,0.08695652173913043,0.03458625764818794,0.26436781609195403,0.2263786937699981,0.17391304347826086,0.17391304347826086,0.2395383743622112,0.40350877192982454,0.015122873345935726,0.015122873345935726,-0.22629277899404815,12614.687944016001,41048.933057563125,-2.836516334098146
7,1.0,"('2', '19')",3158969.9138549767,2,19,0.03679653679653679,0.08695652173913043,0.08695652173913043,0.04160853546813513,0.26744186046511625,0.03406424493381014,0.13043478260869565,0.13043478260869565,0.24157828164948372,0.3333333333333333,0.011342155009451795,0.011342155009451795,-0.25346222394580803,10487.463380607169,37746.249739773244,-3.4169903521539786
8,1.0,"('1', '9')",3117770.1688131676,1,9,0.03524374176548089,0.08695652173913043,0.08695652173913043,0.03458625764818794,0.26436781609195403,0.07587834870443566,0.13043478260869565,0.13043478260869565,0.2087343385919973,0.36507936507936506,0.011342155009451795,0.011342155009451795,-0.2631986781939519,12614.687944016001,44380.94236868708,-2.852701658519164
9,1.0,"('2', '24')",4095900.453494366,2,24,0.03679653679653679,0.08695652173913043,0.08695652173913043,0.04160853546813513,0.26744186046511625,0.07042160737812911,0.13043478260869565,0.13043478260869565,0.1220638225043423,0.3026315789473684,0.011342155009451795,0.011342155009451795,-0.03204383109822284,10487.463380607169,29231.927509641628,-4.962914858865753
